protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
LTF,0.52,0.22
LTK,0.26,0.16
LTN1,0.5,0.18
LTV1,0.34,0.12
LUC7L,0.62,0.1
LUC7L2,0.98,0.5
LUC7L3,0.76,0.26
LUM,0.06,0.18
LURAP1,0.62,0.6
LURAP1L,0.08,0.0
LUZP1,0.34,0.0
LXN,0.32,0.22
LY6D,0.12,0.04
LY6E,0.02,0.0
LY6G5B,0.06,0.0
LY6G6F,0.16,0.0
LY6H,0.12,0.1
LY6K,0.14,0.0
LY86,0.2,0.06
LY9,0.26,0.14
LY96,0.64,0.46
LYAR,0.98,0.16
LYL1,0.94,0.82
LYN,1.0,0.0
LYNX1,0.0,0.02
LYPD3,0.04,0.0
LYPD6B,0.02,0.02
LYPLA1,0.32,0.04
LYPLA2,0.34,0.16
LYPLAL1,0.28,0.0
LYRM1,0.02,0.04
LYRM2,0.02,0.0
LYRM4,0.24,0.04
LYRM7,0.18,0.0
LYST,0.56,0.42
LYVE1,0.14,0.04
LYZ,0.7,0.38
LYZL4,0.04,0.0
LZIC,0.06,0.0
LZTFL1,0.2,0.14
LZTR1,0.9,0.48
LZTS1,0.32,0.18
LZTS2,0.84,0.56
M-RIP,0.04,0.02
M1AP,0.08,0.04
M6PR,0.64,0.32
MAATS1,0.3,0.14
MAB21L2,0.08,0.02
MACC1,0.08,0.06
MACF1,0.82,0.24
MACROD1,1.0,0.98
MACROD2,0.08,0.0
MAD1L1,0.92,0.76
MAD2L1,0.98,0.92
MAD2L1BP,0.76,0.64
MAD2L2,1.0,0.8
MADCAM1,0.08,0.1
MADD,0.28,0.02
MAEA,0.6,0.16
MAF,0.8,0.52
MAF1,0.48,0.22
MAFA,0.22,0.06
MAFB,0.5,0.66
MAFF,0.72,0.58
MAFG,0.96,0.72
MAFIP,0.28,0.08
MAFK,0.88,0.56
MAG,0.4,0.2
MAGEA1,0.72,0.42
MAGEA10,0.16,0.0
MAGEA11,0.98,0.62
MAGEA12,0.42,0.12
MAGEA2B,0.5,0.12
MAGEA4,0.56,0.26
MAGEA6,0.92,0.4
MAGEA8,0.12,0.0
MAGEA9B,0.26,0.0
MAGEB1,0.36,0.06
MAGEB10,0.2,0.0
MAGEB18,0.54,0.24
MAGEB2,0.88,0.4
MAGEB4,0.3,0.02
MAGEB6,0.08,0.12
MAGEC1,0.44,0.38
MAGEC2,0.36,0.2
MAGED1,1.0,0.62
MAGED2,0.78,0.26
MAGED4B,0.44,0.2
MAGEE1,0.3,0.06
MAGEF1,0.38,0.16
MAGEH1,0.68,0.4
MAGEL2,0.2,0.08
MAGI1,0.78,0.4
MAGI2,0.52,0.54
MAGI3,0.6,0.46
MAGOH,1.0,0.02
MAGOHB,0.58,0.46
MAGT1,0.44,0.06
MAK,0.32,0.26
MAK16,0.26,0.02
MAL,0.22,0.06
MAL2,0.38,0.06
MALL,0.08,0.02
MALSU1,0.14,0.04
MALT1,0.98,0.52
MAML1,0.8,0.42
MAML2,0.16,0.08
MAML3,0.36,0.14
MAMSTR,0.04,0.02
MAN1A2,0.26,0.06
MAN1B1,0.24,0.0
MAN1C1,0.04,0.02
MAN2A1,0.06,0.02
MAN2A2,0.4,0.16
MAN2B1,0.24,0.12
MAN2B2,0.08,0.0
MAN2C1,0.26,0.12
MANBAL,0.04,0.06
MANEA,0.02,0.06
MANF,0.22,0.0
MAOA,0.24,0.0
MAOB,0.28,0.04
MAP1A,0.74,0.42
MAP1B,0.94,0.38
MAP1LC3A,1.0,0.76
MAP1LC3B,1.0,0.76
MAP1LC3B2,0.08,0.0
MAP1LC3C,0.96,0.66
MAP1S,0.58,0.44
MAP2,0.94,0.28
MAP2K1,1.0,0.78
MAP2K2,0.9,0.7
MAP2K3,0.98,0.62
MAP2K4,1.0,0.68
MAP2K5,0.9,0.46
MAP2K6,0.92,0.74
MAP2K7,1.0,0.82
MAP3K1,1.0,0.18
MAP3K10,0.8,0.4
MAP3K11,0.98,0.8
MAP3K12,0.74,0.58
MAP3K13,0.48,0.32
MAP3K14,1.0,0.18
MAP3K15,0.1,0.04
MAP3K2,0.92,0.64
MAP3K3,1.0,0.06
MAP3K4,0.88,0.72
MAP3K5,1.0,0.76
MAP3K6,0.54,0.26
MAP3K7,1.0,0.42
MAP3K7CL,0.32,0.36
MAP3K8,0.94,0.48
MAP3K9,0.14,0.0
MAP4,0.92,0.4
MAP4K1,1.0,0.78
MAP4K2,0.68,0.42
MAP4K3,0.52,0.3
MAP4K4,0.82,0.34
MAP4K5,0.72,0.56
MAP6,0.16,0.04
MAP7,0.26,0.2
MAP7D1,0.7,0.38
MAP7D2,0.04,0.0
MAP7D3,0.22,0.1
MAP9,0.12,0.02
MAPK1,1.0,0.0
MAPK10,0.94,0.64
MAPK11,0.76,0.46
MAPK12,0.5,0.28
MAPK13,0.76,0.28
MAPK14,1.0,0.0
MAPK15,0.32,0.24
MAPK1IP1L,0.34,0.16
MAPK3,1.0,0.12
MAPK4,0.26,0.12
MAPK6,1.0,0.98
MAPK7,0.96,0.54
MAPK8,1.0,0.36
MAPK8IP1,0.98,0.82
MAPK8IP2,0.98,0.62
MAPK8IP3,0.88,0.78
MAPK9,1.0,0.7
MAPKAP1,0.76,0.62
MAPKAPK2,1.0,0.58
MAPKAPK3,0.76,0.54
MAPKAPK5,0.78,0.34
MAPKBP1,0.08,0.0
MAPRE1,0.96,0.32
MAPRE2,0.74,0.3
MAPRE3,0.64,0.38
MAPT,1.0,0.5
MARC1,0.46,0.06
MARC2,0.12,0.0
MARCH1,0.26,0.06
MARCH10,0.1,0.02
MARCH2,0.2,0.08
MARCH3,0.34,0.28
MARCH5,0.78,0.5
MARCH6,0.46,0.04
MARCH7,0.6,0.24
MARCH8,0.26,0.1
MARCH9,0.08,0.0
MARCKS,0.74,0.28
MARCKSL1,0.56,0.28
MARK1,0.62,0.28
MARK2,1.0,0.68
MARK3,0.98,0.62
MARK4,0.84,0.34
MARS,1.0,0.1
MARS2,0.04,0.0
MARVELD1,0.1,0.0
MARVELD2,0.1,0.0
MARVELD3,0.06,0.0
MAS1,0.0,0.06
MASP1,0.52,0.28
MASP2,0.28,0.16
MAST1,0.84,0.56
MAST2,0.7,0.28
MAST3,0.14,0.12
MAST4,0.16,0.0
MASTL,0.42,0.02
MAT1A,0.52,0.0
MAT2A,1.0,1.0
MAT2B,0.8,0.4
MATK,0.68,0.24
MATN1,0.16,0.14
MATN2,0.42,0.38
MATN3,0.1,0.08
MATN4,0.1,0.04
MATR3,0.96,0.5
MAU2,0.28,0.14
MAVS,1.0,0.94
MAX,1.0,0.76
MAZ,0.62,0.42
MB,0.06,0.0
MB2,0.02,0.0
MB21D1,0.14,0.0
MB21D2,0.04,0.0
MBD1,0.88,0.78
MBD2,0.96,0.84
MBD3,1.0,0.9
MBD3L1,0.44,0.42
MBD3L2,0.56,0.28
MBD4,0.7,0.52
MBD5,0.04,0.0
MBD6,0.06,0.16
MBIP,0.96,0.8
MBL2,0.48,0.22
MBLAC2,0.14,0.02
MBNL1,0.74,0.22
MBNL2,0.02,0.0
MBNL3,0.06,0.0
MBOAT7,0.48,0.2
MBP,1.0,0.58
MBTD1,0.14,0.16
MBTPS1,0.48,0.32
MBTPS2,0.02,0.02
MC1R,0.46,0.2
MC2R,0.12,0.04
MC3R,0.02,0.02
MC4R,0.4,0.12
MC5R,0.2,0.04
MCAM,0.42,0.06
MCAT,0.28,0.1
MCC,1.0,0.02
MCCC1,0.7,0.0
MCCC2,0.54,0.08
MCEE,0.08,0.0
MCF2,0.52,0.34
MCF2L,0.5,0.12
MCF2L2,0.14,0.06
MCFD2,0.42,0.24
MCHR1,0.02,0.0
MCIDAS,0.12,0.1
MCL1,0.98,0.96
MCM10,0.98,0.9
MCM2,1.0,0.58
MCM3,1.0,0.16
MCM3AP,0.88,0.62
MCM4,0.98,0.5
MCM5,1.0,0.28
MCM6,1.0,0.74
MCM7,1.0,0.22
MCM8,0.3,0.22
MCM9,0.08,0.0
MCMBP,0.68,0.3
MCOLN1,0.1,0.06
MCOLN3,0.02,0.02
MCP-3,0.02,0.02
MCPH1,0.7,0.54
MCRS1,0.96,0.5
MCTP2,0.1,0.0
MCTS1,0.84,0.66
MCU,0.3,0.1
MDC1,1.0,0.1
MDFI,1.0,0.86
MDFIC,0.28,0.12
MDH1,0.64,0.24
MDH2,0.88,0.0
MDK,0.66,0.42
MDM2,1.0,0.04
MDM4,1.0,0.54
MDN1,0.62,0.2
MDP1,0.1,0.02
ME1,0.5,0.1
ME2,0.28,0.1
ME3,0.14,0.06
MEA1,0.44,0.16
MEAF6,0.68,0.5
MECOM,0.84,0.5
MECP2,0.98,0.82
MECR,0.08,0.18
MED1,1.0,0.9
MED10,1.0,0.96
MED11,0.84,0.94
MED12,1.0,0.78
MED12L,0.02,0.1
MED13,0.94,0.92
MED13L,0.3,0.22
MED14,0.98,0.76
MED15,0.98,0.72
MED16,0.96,0.72
MED17,1.0,0.86
MED18,0.96,0.86
MED19,1.0,0.9
MED20,0.92,0.8
MED21,1.0,0.68
MED22,0.8,0.64
MED23,0.94,0.72
MED24,1.0,0.62
MED25,0.98,0.82
MED26,1.0,0.74
MED27,0.88,0.68
MED28,1.0,0.72
MED29,1.0,0.98
MED30,0.9,0.72
MED31,1.0,0.82
MED4,0.94,0.62
MED6,0.98,0.7
MED7,0.92,0.62
MED8,0.98,0.74
MED9,0.9,0.74
MEF2A,0.94,0.66
MEF2BNB,0.1,0.08
MEF2BNB-MEF2B,0.32,0.14
MEF2C,0.9,0.58
MEF2D,0.98,0.56
MEFV,0.64,0.48
MEGF10,0.76,0.58
MEGF11,0.14,0.02
MEGF6,0.3,0.28
MEGF8,0.2,0.16
MEI1,0.04,0.0
MEIG1,0.08,0.02
MEIS1,0.72,0.56
MEIS2,1.0,1.0
MELK,0.44,0.22
MEMO1,0.28,0.04
MEN1,1.0,0.78
MEOX1,0.16,0.12
MEOX2,0.76,0.48
MEP1A,0.4,0.22
MEP1B,0.22,0.2
MEPCE,1.0,0.0
MEPE,0.16,0.12
MERTK,0.52,0.06
MESDC1,0.02,0.0
MESDC2,0.34,0.18
MEST,0.48,0.32
MET,0.98,0.74
METAP1,0.26,0.0
METAP2,0.7,0.12
METTL1,0.78,0.52
METTL10,0.06,0.0
METTL13,0.42,0.04
METTL14,0.14,0.02
METTL15,0.06,0.0
METTL16,0.08,0.0
METTL17,0.34,0.16
METTL18,0.84,0.44
METTL20,0.26,0.02
METTL21A,0.52,0.2
METTL21B,0.86,0.26
METTL21C,0.46,0.12
METTL22,0.46,0.26
METTL23,0.58,0.24
METTL25,0.04,0.0
METTL2A,0.22,0.1
METTL2B,0.24,0.02
METTL3,0.18,0.0
METTL4,0.08,0.0
METTL5,0.16,0.0
METTL6,0.12,0.0
METTL7A,0.18,0.04
METTL7B,0.16,0.02
METTL8,0.06,0.0
METTL9,0.22,0.02
MEX3A,0.06,0.04
MEX3B,0.54,0.28
MEX3C,0.36,0.14
MEX3D,0.16,0.06
MFAP1,0.76,0.38
MFAP2,0.42,0.2
MFAP3,0.38,0.0
MFAP3L,0.32,0.0
MFAP4,0.08,0.06
MFAP5,0.04,0.02
MFF,0.24,0.0
MFGE8,1.0,1.0
MFI2,0.02,0.04
MFN1,0.66,0.38
MFN2,0.62,0.36
MFNG,0.04,0.04
MFRP,0.06,0.0
MFSD1,0.34,0.02
MFSD10,0.2,0.0
MFSD3,0.32,0.24
MFSD5,0.22,0.04
MGA,0.6,0.32
MGAM,0.04,0.0
MGARP,0.04,0.0
MGAT1,0.12,0.1
MGAT3,0.04,0.0
MGAT4B,0.14,0.1
MGAT5B,0.14,0.06
MGC10814,0.0,0.02
MGC21675,0.02,0.0
MGEA5,0.72,0.32
MGLL,0.08,0.12
MGME1,0.1,0.04
MGMT,0.98,0.24
MGP,0.06,0.08
MGRN1,0.88,0.34
MGST1,0.32,0.08
MGST3,0.48,0.1
MIA,0.04,0.04
MIA2,0.0,0.02
MIA3,0.36,0.08
MIB1,0.84,0.5
MIB2,0.56,0.36
MICA,0.12,0.02
MICAL1,0.52,0.26
MICAL2,0.06,0.0
MICAL3,0.26,0.02
MICALCL,0.04,0.0
MICALL1,0.54,0.22
MICB,0.1,0.0
MICU1,0.18,0.08
MICU2,0.24,0.0
MID1,0.96,0.62
MID1IP1,0.28,0.1
MID2,0.86,0.7
MIDN,0.16,0.18
MIEF1,0.34,0.1
MIEF2,0.5,0.3
MIER1,0.48,0.16
MIER2,0.12,0.08
MIER3,0.1,0.02
MIF,0.92,0.64
MIF4GD,0.44,0.26
MIIP,0.16,0.08
MINA,0.26,0.04
MINK1,0.4,0.02
MINOS1,0.58,0.26
MINPP1,1.0,1.0
MIOS,0.32,0.02
MIP,0.3,0.06
MIPEP,0.2,0.06
MIPOL1,0.02,0.0
MIS12,0.98,0.98
MIS18A,0.42,0.1
MIS18BP1,0.38,0.06
MISP,0.06,0.0
MITD1,0.08,0.1
MITF,0.78,0.46
MKI67,0.94,0.34
MKKS,0.54,0.2
MKL1,0.66,0.36
MKL2,0.26,0.24
MKLN1,0.42,0.18
MKNK1,0.9,0.46
MKNK2,0.52,0.08
MKRN1,0.62,0.24
MKRN2,0.36,0.1
MKRN3,0.82,0.62
MKS1,0.2,0.06
MKX,0.24,0.12
MLANA,0.16,0.16
MLC1,0.48,0.18
MLEC,0.28,0.0
MLF1,0.4,0.28
MLF2,0.76,0.4
MLH1,1.0,0.7
MLH3,0.22,0.02
MLIP,0.1,0.02
MLKL,0.42,0.26
MLL/AF6,0.04,0.04
MLLT1,0.92,0.92
MLLT10,0.5,0.42
MLLT11,0.34,0.0
MLLT3,0.98,0.94
MLLT4,1.0,0.86
MLLT6,0.4,0.3
MLNR,0.06,0.08
MLPH,0.48,0.4
MLST8,0.82,0.54
MLX,0.74,0.52
MLXIP,0.3,0.2
MLXIPL,0.26,0.12
MLYCD,0.0,0.02
MMAB,0.04,0.0
MMACHC,0.04,0.0
MMADHC,0.0,0.04
MME,0.92,0.34
MMGT1,0.28,0.04
MMP1,0.8,0.52
MMP10,0.02,0.08
MMP11,0.0,0.02
MMP12,0.14,0.04
MMP13,0.36,0.2
MMP14,0.76,0.5
MMP15,0.22,0.08
MMP16,0.14,0.1
MMP17,0.02,0.02
MMP2,0.96,0.72
MMP23B,0.06,0.04
MMP25,0.08,0.06
MMP28,0.06,0.04
MMP3,0.62,0.62
MMP7,0.26,0.26
MMP8,0.28,0.12
MMP9,0.94,0.52
MMRN1,0.08,0.0
MMRN2,0.02,0.0
MMS19,1.0,0.16
MMS22L,0.76,0.32
MNAT1,0.96,0.74
MND1,0.14,0.0
MNDA,0.2,0.06
MNS1,0.16,0.0
MNT,0.6,0.58
MNX1,0.04,0.0
MOAP1,0.82,0.48
MOB1A,0.96,0.68
MOB1B,0.74,0.54
MOB2,0.2,0.2
MOB3A,0.14,0.02
MOB3B,0.36,0.34
MOB3C,0.14,0.1
MOB4,0.98,0.56
MOCOS,0.12,0.06
MOCS2,0.3,0.0
MOCS3,0.4,0.2
MOG,0.0,0.04
MOGS,1.0,1.0
MOK,0.12,0.16
MON1A,0.32,0.22
MON1B,0.46,0.36
MON2,0.46,0.06
MORC1,0.06,0.0
MORC2,0.36,0.02
MORC3,0.76,0.02
MORC4,0.3,0.04
MORF4L1,1.0,0.8
MORF4L2,1.0,0.8
MORN1,0.1,0.0
MORN2,0.04,0.0
MORN3,0.02,0.04
MORN4,0.02,0.0
MOS,0.26,0.06
MOSPD1,0.16,0.0
MOSPD2,0.32,0.0
MOV10,0.82,0.34
MOXD1,0.16,0.0
MPC1,0.32,0.2
MPC2,0.32,0.02
MPDU1,0.5,0.22
MPDZ,0.64,0.52
MPG,1.0,0.4
MPHOSPH10,0.56,0.0
MPHOSPH6,0.86,0.66
MPHOSPH8,0.48,0.38
MPHOSPH9,0.1,0.04
MPI,1.0,1.0
MPL,0.24,0.12
MPLKIP,0.3,0.18
MPND,0.02,0.0
MPO,0.02,0.06
MPP1,0.68,0.38
MPP2,0.2,0.04
MPP3,0.94,0.86
MPP4,0.06,0.02
MPP5,0.36,0.14
MPP6,0.78,0.28
MPP7,0.26,0.12
MPPE1,0.06,0.04
MPPED1,0.24,0.1
MPPED2,0.06,0.06
MPRIP,0.92,0.42
MPST,0.42,0.12
MPV17,0.68,0.24
MPV17L,0.04,0.0
MPV17L2,0.04,0.0
MPZ,0.22,0.06
MPZL1,0.42,0.04
MPZL2,0.18,0.08
MPZL3,0.06,0.08
MR1,0.2,0.08
MRAP,0.18,0.1
MRAP2,0.12,0.08
MRAS,0.54,0.36
MRC1,0.08,0.02
MRC2,0.28,0.02
MRE11A,0.98,0.48
MREG,0.1,0.0
MRFAP1,0.86,0.7
MRFAP1L1,0.6,0.34
MRGBP,1.0,1.0
MRGPRX1,0.14,0.12
MRI1,0.32,0.06
MRM1,0.06,0.0
MROH1,0.26,0.0
MROH2B,0.02,0.0
MROH5,0.02,0.0
MRP63,0.3,0.06
MRPL1,0.38,0.04
MRPL10,0.52,0.04
MRPL11,0.56,0.08
MRPL12,0.94,0.0
MRPL13,0.7,0.12
MRPL14,0.48,0.14
MRPL15,0.76,0.0
MRPL16,0.36,0.08
MRPL17,0.32,0.08
MRPL18,0.28,0.0
MRPL19,0.74,0.12
MRPL2,0.7,0.0
MRPL20,0.76,0.18
MRPL21,0.38,0.08
MRPL22,0.54,0.2
MRPL23,0.72,0.2
MRPL24,0.48,0.14
MRPL27,0.32,0.0
MRPL28,0.42,0.08
MRPL3,0.76,0.0
MRPL30,0.08,0.06
MRPL32,0.5,0.08
MRPL33,0.04,0.0
MRPL34,0.02,0.0
MRPL35,0.06,0.0
MRPL36,0.12,0.02
MRPL37,0.76,0.06
MRPL38,0.64,0.2
MRPL39,0.7,0.1
MRPL4,0.68,0.1
MRPL40,0.66,0.16
MRPL41,0.6,0.18
MRPL42,0.44,0.18
MRPL43,0.42,0.02
MRPL44,0.9,0.34
MRPL45,0.56,0.1
MRPL46,0.4,0.08
MRPL47,0.24,0.06
MRPL48,0.26,0.02
MRPL49,0.5,0.04
MRPL50,0.54,0.14
MRPL51,0.32,0.12
MRPL52,0.38,0.12
MRPL53,0.64,0.38
MRPL54,0.18,0.06
MRPL55,0.34,0.04
MRPL9,0.46,0.18
MRPS10,0.36,0.12
MRPS11,0.36,0.04
MRPS12,0.46,0.28
MRPS14,0.34,0.12
MRPS15,0.32,0.12
MRPS16,0.58,0.16
MRPS17,0.4,0.0
MRPS18A,0.18,0.0
MRPS18B,0.7,0.34
MRPS18C,0.14,0.0
MRPS2,0.56,0.08
MRPS21,0.32,0.08
MRPS22,0.56,0.22
MRPS23,0.38,0.16
MRPS24,0.24,0.04
MRPS25,0.32,0.08
MRPS26,0.66,0.14
MRPS27,1.0,1.0
MRPS28,0.72,0.26
MRPS30,0.34,0.02
MRPS31,0.3,0.16
MRPS33,0.18,0.1
MRPS34,0.48,0.08
MRPS35,0.5,0.14
MRPS36,0.18,0.02
MRPS5,0.4,0.16
MRPS6,0.44,0.28
MRPS7,0.5,0.16
MRPS9,0.88,0.12
MRRF,0.26,0.1
MRS2,0.04,0.0
MRTO4,0.74,0.02
MRVI1,0.24,0.2
MS4A1,0.2,0.12
MS4A10,0.0,0.02
MS4A2,0.26,0.1
MS4A3,0.12,0.02
MS4A5,0.04,0.0
MS4A7,0.04,0.04
MSANTD2,0.08,0.08
MSANTD3,0.04,0.02
MSANTD4,0.14,0.0
MSC,0.14,0.14
MSH2,1.0,0.48
MSH3,0.9,0.56
MSH4,0.66,0.36
MSH5,0.6,0.2
MSH6,1.0,0.58
MSI1,0.34,0.06
MSI2,0.4,0.02
MSL1,0.44,0.32
MSL2,0.52,0.44
MSL3,0.54,0.4
MSLN,0.24,0.12
MSMB,0.04,0.0
MSMO1,0.48,0.1
MSN,1.0,0.54
MSR1,0.22,0.02
MSRA,0.06,0.02
MSRB1,0.06,0.02
MSRB2,0.04,0.02
MSRB3,0.02,0.02
MST096,0.02,0.0
MST1,0.12,0.18
MST1R,0.86,0.42
MST4,1.0,0.14
MSTN,0.6,0.4
MSTO1,0.58,0.12
MSX1,0.64,0.52
MSX2,0.7,0.5
MT-RNR2,0.52,0.34
MT1A,0.24,0.06
MT1E,0.08,0.0
MT1F,0.08,0.1
MT1G,0.16,0.02
MT1H,0.24,0.06
MT1M,0.04,0.0
MT1X,0.18,0.0
MT2A,0.64,0.38
MT3,0.26,0.06
MTA1,1.0,0.8
MTA2,1.0,0.76
MTA3,0.88,0.44
MTAP,0.76,0.26
MTBP,0.46,0.0
MTCH1,0.22,0.04
MTCH2,0.52,0.0
MTCP1,0.16,0.04
MTDH,0.54,0.12
MTERF,0.4,0.12
MTERFD1,0.12,0.04
MTERFD2,0.34,0.18
MTF1,0.24,0.16
MTF2,0.3,0.3
MTFMT,0.04,0.0
MTFP1,0.08,0.02
MTFR1,0.18,0.02
MTFR1L,0.14,0.0
MTFR2,0.24,0.0
MTG1,0.22,0.1
MTG2,0.1,0.12
MTHFD1,0.94,0.08
MTHFD1L,0.44,0.18
MTHFD2,0.38,0.04
MTHFR,0.22,0.18
MTHFS,0.26,0.02
MTHFSD,0.08,0.02
MTIF2,0.16,0.04
MTIF3,0.06,0.0
MTM1,0.5,0.2
MTMR1,0.24,0.0
MTMR10,0.32,0.06
MTMR11,0.04,0.02
MTMR12,0.38,0.08
MTMR14,0.3,0.0
MTMR2,0.42,0.16
MTMR3,0.14,0.1
MTMR4,0.26,0.02
MTMR6,0.38,0.08
MTMR7,0.12,0.06
MTMR8,0.16,0.12
MTMR9,0.44,0.2
MTNR1A,0.72,0.44
MTNR1B,0.18,0.14
MTO1,0.34,0.12
MTOR,1.0,0.94
MTPAP,0.32,0.2
MTPN,1.0,1.0
MTR,0.62,0.14
MTRF1,0.06,0.02
MTRF1L,0.04,0.0
MTRNR2L1,0.42,0.24
MTRR,0.28,0.04
MTSS1,0.14,0.08
MTTP,0.0,0.08
MTURN,0.28,0.0
MTUS1,0.1,0.08
MTUS2,0.46,0.36
MTX1,0.64,0.3
MTX2,0.14,0.12
MTX3,0.1,0.0
MUC1,1.0,0.5
MUC12,0.1,0.0
MUC13,0.06,0.02
MUC16,0.14,0.0
MUC2,0.16,0.12
MUC20,0.02,0.0
MUC3A,0.1,0.04
MUC6,0.02,0.0
MUC7,0.28,0.18
MUL1,0.88,0.48
MUM1,0.18,0.0
MUM1L1,0.12,0.0
MURC,0.08,0.0
MUS81,0.72,0.52
MUSK,0.24,0.08
MUSTN1,0.08,0.04
MUT,0.1,0.02
MUTYH,0.36,0.26
MVB12A,0.7,0.28
MVB12B,0.18,0.04
MVD,0.78,0.12
MVK,0.26,0.0
MVP,0.86,0.56
MX1,0.56,0.42
MX2,0.04,0.0
MXD1,0.88,0.64
MXD3,0.52,0.34
MXD4,0.66,0.26
MXI1,0.8,0.48
MXRA5,0.02,0.04
MXRA7,0.24,0.0
MXRA8,0.04,0.0
MYADM,0.14,0.0
MYB,0.98,0.44
MYBBP1A,0.96,0.12
MYBL1,0.6,0.3
MYBL2,0.98,0.72
MYBPC1,0.36,0.22
MYBPC2,0.68,0.34
MYBPC3,0.42,0.36
MYBPH,0.2,0.08
MYC,1.0,0.0
MYCBP,0.84,0.68
MYCBP2,0.84,0.28
MYCBPAP,0.14,0.22
MYCL,0.18,0.14
MYCN,0.8,0.58
MYD88,1.0,0.9
MYEF2,0.32,0.12
MYEOV,0.02,0.0
MYEOV2,0.52,0.06
MYF5,0.46,0.38
MYF6,0.34,0.28
MYH1,0.24,0.08
MYH10,0.96,0.14
MYH11,1.0,1.0
MYH13,0.18,0.18
MYH14,1.0,1.0
MYH15,0.02,0.0
MYH2,0.24,0.14
MYH3,0.24,0.18
MYH4,0.14,0.02
MYH6,0.04,0.0
MYH7,0.4,0.12
MYH7B,0.18,0.0
MYH8,0.14,0.04
MYH9,1.0,1.0
MYL1,0.34,0.1
MYL10,0.08,0.0
MYL12A,0.98,0.42
MYL12B,0.68,0.16
MYL2,0.2,0.14
MYL3,0.4,0.16
MYL4,0.22,0.0
MYL5,0.08,0.0
MYL6,0.98,0.18
MYL6B,0.52,0.02
MYL9,0.54,0.24
MYLIP,0.68,0.46
MYLK,0.54,0.18
MYLK2,0.6,0.22
MYLK3,0.16,0.0
MYLK4,0.02,0.0
MYLPF,0.22,0.06
MYNN,0.18,0.02
MYO10,0.84,0.46
MYO15A,0.32,0.26
MYO16,0.16,0.1
MYO18A,0.28,0.08
MYO18B,0.3,0.1
MYO19,0.24,0.0
MYO1A,0.28,0.16
MYO1B,0.74,0.08
MYO1C,0.96,0.22
MYO1D,0.72,0.32
MYO1E,0.88,0.24
MYO1F,0.32,0.1
MYO1G,0.3,0.06
MYO3A,0.04,0.04
MYO3B,0.1,0.04
MYO5A,0.88,0.2
MYO5B,0.48,0.28
MYO5C,0.14,0.06
MYO6,1.0,1.0
MYO7A,0.46,0.18
MYO7B,0.04,0.0
MYO9A,0.4,0.14
MYO9B,0.5,0.14
MYOC,0.86,0.36
MYOCD,0.66,0.36
MYOD1,1.0,0.66
MYOF,1.0,1.0
MYOG,0.66,0.58
MYOM1,0.3,0.18
MYOM2,0.58,0.3
MYOM3,0.04,0.06
MYOT,0.42,0.38
MYOZ1,0.78,0.68
MYOZ2,0.38,0.4
MYOZ3,0.22,0.14
MYPN,0.28,0.36
MYPOP,0.04,0.0
MYRF,0.14,0.0
MYRIP,0.1,0.12
MYSM1,0.8,0.4
MYT1,0.54,0.2
MYT1L,0.14,0.08
MZB1,0.14,0.1
MZF1,0.4,0.16
MZT1,0.28,0.02
MZT2A,0.2,0.0
MZT2B,0.36,0.06
N4BP1,0.62,0.16
N4BP2,0.54,0.2
N4BP2L2,0.14,0.16
N4BP3,0.12,0.06
N6AMT1,0.06,0.0
NAA10,0.72,0.46
NAA11,0.4,0.02
NAA15,0.82,0.34
NAA16,0.3,0.1
NAA20,0.42,0.12
NAA25,0.22,0.0
NAA30,0.08,0.0
NAA35,0.14,0.0
NAA38,1.0,0.8
NAA40,0.08,0.0
NAA50,0.34,0.0
NAAA,0.06,0.0
NAALADL2,0.06,0.0
NAB1,0.4,0.06
NAB2,0.38,0.18
NABP1,0.16,0.12
NABP2,0.68,0.44
NACA,0.88,0.14
NACA2,0.32,0.08
NACAD,0.32,0.32
NACAP1,0.12,0.0
NACC1,0.62,0.3
NACC2,0.1,0.06
NADK,0.62,0.3
NADK2,0.4,0.14
NADSYN1,0.32,0.12
NAE1,0.94,0.64
NAF1,0.62,0.16
NAGA,0.3,0.0
NAGK,0.88,0.38
NAGLU,0.22,0.0
NAGPA,0.2,0.12
NAGS,0.1,0.02
NAIF1,0.12,0.02
NAIP,0.26,0.26
NALCN,0.12,0.0
NAMPT,0.68,0.3
NANOG,0.22,0.06
NANOS1,0.14,0.02
NANP,0.06,0.02
NANS,0.56,0.26
NAP1L1,1.0,0.0
NAP1L2,0.22,0.06
NAP1L4,0.92,0.22
NAP1L5,0.64,0.34
NAPA,0.98,0.72
NAPB,0.44,0.0
NAPEPLD,0.24,0.0
NAPG,0.18,0.1
NAPRT1,0.42,0.22
NAPSA,0.06,0.0
NARF,0.26,0.04
NARFL,0.16,0.0
NARG2,0.08,0.08
NARS,0.84,0.04
NASP,0.94,0.46
NAT1,0.0,0.02
NAT10,0.86,0.0
NAT14,0.22,0.04
NAT16,0.0,0.1
NAT2,0.08,0.0
NAT6,0.1,0.0
NAT8,0.06,0.0
NAT9,0.6,0.5
NAV1,0.16,0.0
NAV2,0.22,0.16
NAV3,0.1,0.04
NBAS,0.36,0.06
NBEA,0.42,0.1
NBEAL1,0.06,0.0
NBEAL2,0.26,0.0
NBL1,0.1,0.02
