protein,JL_analysis_exp2/W_2_BETA_3_D_8_mu_0.0,JL_analysis_exp2/W_2_BETA_3_D_8_mu_0.0003,JL_analysis_exp2/W_3_BETA_3_D_8_mu_0.001,JL_analysis_exp2/W_3_BETA_6_D_8_mu_5e-05,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05,renan_analysis_OG/W_2.5_BETA_8_D_7_mu_5e-05,renan_analysis_OG_diff_params/W_2_BETA_12_D_8_mu_0.0,renan_analysis_OG_diff_params/W_2_BETA_3_D_8_mu_5e-05,renan_new_TFs/W_3_BETA_3_D_8_mu_5e-05,renan_new_TFs/W_3_BETA_6_D_8_mu_0.003,renan_new_proteins_and_TFs/W_2_BETA_3_D_8_mu_5e-05,renan_new_proteins_and_TFs/W_3_BETA_12_D_8_mu_0.001,renan_new_proteins_and_TFs/W_3_BETA_3_D_8_mu_0.001,renan_new_terminals/W_1_BETA_6_D_8_mu_0.01,renan_new_terminals/W_2_BETA_3_D_8_mu_0.0003,renan_new_terminals/W_3_BETA_3_D_8_mu_0.001
GRK5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRN,0.952380952380952,0.0,0.0,0.0,0.96,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSK3A,1.0,1.0,0.0,1.0,0.98,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GSK3B,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSPT1,0.9047619047619052,0.0,0.0,0.0,0.98,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTA4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTK1,0.952380952380952,0.0,0.0,0.0,0.96,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTM3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0
GSTP1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GTF2A1,0.9047619047619052,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2B,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GTF2E1,1.0,0.0,0.0,0.0,0.96,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2E2,0.9285714285714292,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2F1,0.976190476190476,0.0,0.0,0.0,1.0,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
GTF2F2,1.0,0.0,0.0,0.0,0.98,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2H1,1.0,0.0,0.0,0.0,0.98,0.92,0.9,0.98,0.92,0.9642857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2H2C,0.952380952380952,0.0,0.0,0.9,0.94,0.0,0.0,0.94,0.0,0.9642857142857142,0.0,0.9,0.0,0.0,0.0,0.0,0.0
GTF2H3,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2H4,0.9285714285714292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2I,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF3C1,0.9285714285714292,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,0.0,0.0,0.0
